,topics,alpha,beta,c_v,c_npmi
0,10,0.01,0.01,0.301999452871621,-0.3098860501781628
1,10,0.01,0.26,0.31131645377431527,-0.3162436456650477
2,10,0.01,0.51,0.3126326161395818,-0.3127793769978225
3,10,0.01,0.76,0.3186435418138017,-0.31054616642610766
4,10,0.01,symmetric,0.3129678289415586,-0.314444219800458
5,10,0.01,auto,0.3171435131850874,-0.31113599047884427
6,10,0.26,0.01,0.2980723019025085,-0.3084541798612478
7,10,0.26,0.26,0.309962526585711,-0.31691698125505763
8,10,0.26,0.51,0.3125477831217638,-0.31196515579242307
9,10,0.26,0.76,0.31646645754313163,-0.30912870768988654
10,10,0.26,symmetric,0.3113211600384433,-0.3120741350806878
11,10,0.26,auto,0.3020335201759946,-0.3077193562594321
12,10,0.51,0.01,0.299193343756449,-0.31035897484194114
13,10,0.51,0.26,0.3112804125458025,-0.31584610537670077
14,10,0.51,0.51,0.31943746335730083,-0.31226954758532655
15,10,0.51,0.76,0.3169681755925948,-0.3054905684804899
16,10,0.51,symmetric,0.30824947731557134,-0.30989222706948694
17,10,0.51,auto,0.3000727368386123,-0.3087491456746679
18,10,0.76,0.01,0.3017408340210047,-0.3150137324986395
19,10,0.76,0.26,0.3115838715415597,-0.315186257278269
20,10,0.76,0.51,0.3172385873173294,-0.3129610187185937
21,10,0.76,0.76,0.3113226919406943,-0.30974389454027323
22,10,0.76,symmetric,0.3006613270116937,-0.3099600288989821
23,10,0.76,auto,0.3010899806789511,-0.30904291036649917
24,10,symmetric,0.01,0.29534607823366743,-0.3077482337402363
25,10,symmetric,0.26,0.3107305460427659,-0.3156951862774587
26,10,symmetric,0.51,0.3126326161395817,-0.3127793769978225
27,10,symmetric,0.76,0.3194815925560066,-0.3082815577642096
28,10,symmetric,symmetric,0.31219690567527786,-0.31400109236798823
29,10,symmetric,auto,0.31087195811666446,-0.310018787395519
30,10,asymmetric,0.01,0.3143127934086815,-0.31451753099820107
31,10,asymmetric,0.26,0.3103845445507624,-0.31613082561038625
32,10,asymmetric,0.51,0.32163536469638104,-0.3110330203778909
33,10,asymmetric,0.76,0.32029505302780126,-0.3117064834955706
34,10,asymmetric,symmetric,0.31038579359222795,-0.3133633032317507
35,10,asymmetric,auto,0.3097886954650742,-0.3117569775234946
36,10,auto,0.01,0.29534607823366743,-0.3077482337402363
37,10,auto,0.26,0.3107305460427659,-0.3156951862774587
38,10,auto,0.51,0.3126326161395817,-0.3127793769978225
39,10,auto,0.76,0.3194815925560066,-0.3082815577642096
40,10,auto,symmetric,0.31219690567527786,-0.31400109236798823
41,10,auto,auto,0.31087195811666446,-0.310018787395519
42,15,0.01,0.01,0.3269690547871107,-0.3102778071418609
